时间戳,帧计数器,游戏时间,挂载对象位置X,挂载对象位置Y,挂载对象位置Z,挂载对象旋转X,挂载对象旋转Y,挂载对象旋转Z,目标对象1旋转X,目标对象1旋转Y,目标对象1旋转Z,注视原点X,注视原点Y,注视原点Z,注视方向X,注视方向Y,注视方向Z,碰撞点X,碰撞点Y,碰撞点Z,碰撞物体名称,左瞳孔直径,右瞳孔直径,左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,眼动追踪状态
33:21.8,1,0,0.413281,-0.001141,26.27405,359.9839,-0.000137,0.001785,0,0,0,0.413281,-0.001141,26.27405,-0.000002,0.000282,1,0.413271,0.000001,30.32714,Road,0,0,0.5,0.5,0.5,0.5,0,0,Invalid
33:24.3,2,0.02,0.346565,1.154493,26.16918,354.6492,331.2381,357.8715,0,0,0,0.346565,1.154493,26.16918,-0.479075,0.093254,0.872807,0.067704,1.208774,26.67723,-995,0,0,0.5,0.5,0.5,0.5,0.999997,0.999997,Invalid
33:24.6,3,0.3235,0.346497,1.143604,26.15981,353.8074,331.4397,358.4273,0,0,0,0.346497,1.143604,26.15981,-0.475294,0.10787,0.873189,0.069799,1.206402,26.66814,-995,0,0,0.5,0.5,0.5,0.5,1,1,Invalid
33:24.6,4,0.3655,0.346972,1.143709,26.15919,353.4089,331.6729,358.3865,0,0,0,0.346972,1.143709,26.15919,-0.471368,0.114782,0.874436,0.072723,1.21049,26.66795,-995,0,0,0.5,0.5,0.5,0.5,1,1,Invalid
33:24.6,5,0.3761,0.346981,1.143693,26.15921,353.4173,331.683,358.431,0,0,0,0.346981,1.143693,26.15921,-0.471222,0.114637,0.874533,0.072875,1.210376,26.66792,-995,0,0,0.5,0.5,0.5,0.5,1,1,Invalid
33:24.6,6,0.3876,0.346968,1.143618,26.1592,353.3769,331.6682,358.4232,0,0,0,0.346968,1.143618,26.1592,-0.47141,0.115338,0.87434,0.072703,1.210721,26.66789,-995,0,0,0.5,0.5,0.5,0.5,1,1,Invalid
33:24.6,7,0.3967,0.346949,1.143583,26.15919,353.3713,331.6724,358.4452,0,0,0,0.346949,1.143583,26.15919,-0.471341,0.115435,0.874364,0.072732,1.210741,26.66788,-995,0,0,0.5,0.5,0.5,0.5,1,1,Invalid
33:24.6,8,0.4073,0.346947,1.143575,26.1592,353.3441,331.6637,358.4448,0,0,0,0.346947,1.143575,26.1592,-0.471447,0.115907,0.874245,0.072641,1.211013,26.66787,-995,0,0,0.5,0.5,0.5,0.5,1,1,Invalid
33:24.7,9,0.4178,0.346939,1.143584,26.1592,353.3499,331.661,358.4543,0,0,0,0.346939,1.143584,26.1592,-0.471494,0.115806,0.874233,0.072603,1.210965,26.66787,-995,0,0,0.5,0.5,0.5,0.5,1,1,Invalid
33:24.7,10,0.4288,0.346932,1.143582,26.15921,353.353,331.6598,358.4429,0,0,0,0.346932,1.143582,26.15921,-0.471515,0.115751,0.874229,0.072583,1.210932,26.66788,-995,0,0,0.5,0.5,0.5,0.5,1,1,Invalid
