时间戳,帧计数器,游戏时间,挂载对象位置X,挂载对象位置Y,挂载对象位置Z,挂载对象旋转X,挂载对象旋转Y,挂载对象旋转Z,目标对象1旋转X,目标对象1旋转Y,目标对象1旋转Z,注视原点X,注视原点Y,注视原点Z,注视方向X,注视方向Y,注视方向Z,碰撞点X,碰撞点Y,碰撞点Z,碰撞物体名称,左瞳孔直径,右瞳孔直径,左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,眼动追踪状态,
05:58.5,1,0,0.413246,1.258904,26.27372,359.9871,-0.000112,0.001655,0,0,0,0.413246,1.258904,26.27372,-0.000002,0.000226,1,0.413234,1.260326,32.57522,触发点,0,0,0.5,0.5,0.5,0.5,1,1,Invalid,#NAME?
06:00.6,2,0.02,1.000263,1.112913,26.79833,3.548345,357.6712,359.9483,0,0,0,0.998722,1.11741,26.81194,-0.182249,-0.307921,0.933793,0.337361,0.000001,30.20057,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:00.9,3,0.27,0.988773,1.101111,26.78534,7.045259,350.604,358.4549,0,0,0,0.985664,1.10479,26.79893,-0.120575,-0.336112,0.934072,0.589339,0.000001,29.86919,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:00.9,4,0.3152,0.99201,1.100801,26.78556,6.770342,352.3521,359.151,0,0,0,0.989258,1.104536,26.79921,-0.090607,-0.332192,0.93885,0.687992,0.000001,29.92088,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.0,5,0.3354,0.992561,1.100521,26.78557,6.755921,352.768,359.3257,0,0,0,0.989891,1.104256,26.79924,-0.113981,-0.317979,0.941222,0.594065,0.000001,30.06786,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.0,6,0.3446,0.992792,1.100434,26.78544,6.75643,352.9503,359.4728,0,0,0,0.990152,1.104167,26.79912,-0.110465,-0.317973,0.941643,0.60656,0.000001,30.06898,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.0,7,0.3541,0.992832,1.100457,26.78541,6.748138,352.9977,359.4744,0,0,0,0.990204,1.104192,26.79909,-0.142159,-0.302548,0.942473,0.471375,0.000001,30.23878,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.0,8,0.3664,0.992899,1.100458,26.78537,6.769521,353.0205,359.5093,0,0,0,0.990273,1.104187,26.79905,-0.165144,-0.29894,0.939874,0.380284,0.000001,30.27064,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.0,9,0.3776,0.992857,1.100446,26.78529,6.710711,353.0494,359.4725,0,0,0,0.990242,1.104189,26.79897,-0.170573,-0.299169,0.938831,0.360681,0.000001,30.26405,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.0,10,0.3879,0.992865,1.100447,26.78524,6.684352,353.0627,359.4616,0,0,0,0.990253,1.104197,26.79892,-0.170406,-0.29872,0.939004,0.360359,0.000001,30.26987,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.0,11,0.3985,0.992851,1.100498,26.78519,6.675129,353.0713,359.4538,0,0,0,0.990242,1.104251,26.79886,-0.17337,-0.314983,0.933129,0.382453,0.000001,30.07018,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.0,12,0.4096,0.992863,1.100497,26.78513,6.652921,353.0739,359.4532,0,0,0,0.990255,1.104256,26.79881,-0.174903,-0.321706,0.930545,0.389901,0.000001,29.9929,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.0,13,0.4209,0.992842,1.100496,26.78509,6.63352,353.067,359.4658,0,0,0,0.990233,1.104259,26.79876,-0.174981,-0.3214,0.930636,0.389036,0.000001,29.99622,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.1,14,0.438,0.992828,1.100508,26.78508,6.603684,353.0451,359.4694,0,0,0,0.990213,1.104278,26.79875,-0.165908,-0.334852,0.92755,0.443082,0.000001,29.85764,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.1,15,0.4449,0.992819,1.10055,26.78507,6.590425,353.031,359.4673,0,0,0,0.9902,1.104323,26.79874,-0.178867,-0.321561,0.929842,0.375925,0.000001,29.99207,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.1,16,0.4545,0.992798,1.100586,26.78502,6.561041,353.0258,359.4391,0,0,0,0.990179,1.104367,26.79869,-0.179077,-0.321045,0.92998,0.37417,0.000001,29.99774,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.1,17,0.4664,0.992771,1.100644,26.785,6.529493,353.0196,359.4035,0,0,0,0.990156,1.104433,26.79867,-0.179796,-0.32738,0.927629,0.383606,0.000001,29.92808,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.1,18,0.4767,0.992729,1.100737,26.78501,6.5308,353.0172,359.3726,0,0,0,0.990116,1.104526,26.79867,-0.161544,-0.344819,0.924664,0.472657,0.000001,29.76057,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.1,19,0.4876,0.992695,1.100762,26.78498,6.503635,353.0186,359.3414,0,0,0,0.990086,1.104558,26.79864,-0.173175,-0.341155,0.923918,0.429399,0.000001,29.79002,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.1,20,0.4984,0.992653,1.100843,26.78499,6.499345,353.0209,359.3193,0,0,0,0.990046,1.104641,26.79865,-0.173228,-0.341062,0.923942,0.42899,0.000001,29.79114,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.1,21,0.5096,0.992619,1.100912,26.78498,6.492947,353.0049,359.3091,0,0,0,0.990007,1.104712,26.79865,-0.168393,-0.345791,0.923078,0.452037,0.000001,29.74764,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
06:01.1,22,0.521,0.992561,1.100925,26.78495,6.463352,352.9966,359.2985,0,0,0,0.989952,1.104733,26.79861,-0.158892,-0.347503,0.924118,0.484828,0.000001,29.73643,Road,0,0,0.5,0.5,0.5,0.5,1,1,Valid,#NAME?
